160,1,2016-09-21 09:19:57.779409,,Chaise maternelle,2552,,Physical Locations / WH / Stock / Administration / 1er étage / PS1 :Maternelle RDC,1,1,6,,2016-09-21 09:19:57.779409,23.000,23.000,1,B013746,,18727,
161,1,2016-09-21 09:19:57.779409,,Chaise skaï noir avec accoudoir,2600,,Physical Locations / WH / Stock / Administration / 1er étage / Salle de réunion 1 er étage primaire ,1,1,6,,2016-09-21 09:19:57.779409,4.000,4.000,1,B014555,,19678,
162,1,2016-09-21 09:19:57.779409,,Meuble basse à 2 portes,2561,,Emplacements physiques / WH / Stock / Maternelle / 1er étage / GS1,1,1,6,,2016-09-21 09:19:57.779409,1.000,1.000,1,B050376,,18021,
163,1,2016-09-21 09:19:57.779409,,Rideau,2561,,Emplacements physiques / WH / Stock / Maternelle / 1er étage / GS1,1,1,6,,2016-09-21 09:19:57.779409,4.000,4.000,1,A080281,,18015,
164,1,2016-09-21 09:19:57.779409,,Climatiseur,2600,,Physical Locations / WH / Stock / Administration / 1er étage / Salle de réunion 1 er étage primaire ,1,1,6,,2016-09-21 09:19:57.779409,2.000,2.000,1,A030366,,19675,
165,1,2016-09-21 09:19:57.779409,,Plante,2600,,Physical Locations / WH / Stock / Administration / 1er étage / Salle de réunion 1 er étage primaire ,1,1,6,,2016-09-21 09:19:57.779409,3.000,3.000,1,B030516,,19694,
166,1,2016-09-21 09:19:57.779409,,Banc en bois,2552,,Physical Locations / WH / Stock / Administration / 1er étage / PS1 :Maternelle RDC,1,1,6,,2016-09-21 09:19:57.779409,6.000,6.000,1,B013723,,18726,
167,1,2016-09-21 09:19:57.779409,,Ordinateur,2561,,Emplacements physiques / WH / Stock / Maternelle / 1er étage / GS1,1,1,6,,2016-09-21 09:19:57.779409,1.000,1.000,1,F070095,,18037,
168,1,2016-09-21 09:19:57.779409,,Table MF en stratifie hêtre,2600,,Physical Locations / WH / Stock / Administration / 1er étage / Salle de réunion 1 er étage primaire ,1,1,6,,2016-09-21 09:19:57.779409,1.000,1.000,1,B300031,,19698,
169,1,2016-09-21 09:19:57.779409,,Tapis carré PF vert,2552,,Physical Locations / WH / Stock / Administration / 1er étage / PS1 :Maternelle RDC,1,1,6,,2016-09-21 09:19:57.779409,1.000,1.000,1,B030963,,18741,
170,1,2016-09-21 09:19:57.779409,,Miroir PF,2552,,Physical Locations / WH / Stock / Administration / 1er étage / PS1 :Maternelle RDC,1,1,6,,2016-09-21 09:19:57.779409,1.000,1.000,1,B051922,,18736,
171,1,2016-09-21 09:19:57.779409,,Tableau blanc MF de vidéo projecteur,2600,,Physical Locations / WH / Stock / Administration / 1er étage / Salle de réunion 1 er étage primaire ,1,1,6,,2016-09-21 09:19:57.779409,1.000,1.000,1,B290273,,19683,
172,1,2016-09-21 09:19:57.779409,,Climatiseur,2561,,Emplacements physiques / WH / Stock / Maternelle / 1er étage / GS1,1,1,6,,2016-09-21 09:19:57.779409,2.000,2.000,1,A030300,,18014,
